1631598120.0,3282.28000000,3284.56000000,3282.28000000,3284.49000000,45.72380000,1631598179999,150134.08729000,252,27.77610000,91200.82114600,0
1631598180.0,3284.39000000,3287.45000000,3283.49000000,3286.34000000,74.57970000,1631598239999,244997.40643900,482,42.71790000,140331.48393600,0
1631598240.0,3286.52000000,3290.66000000,3286.52000000,3290.27000000,73.13380000,1631598299999,240533.17410000,422,46.28160000,152213.86791800,0
1631598300.0,3290.27000000,3290.38000000,3286.43000000,3286.79000000,46.54340000,1631598359999,153029.78750900,364,22.84820000,75111.82236400,0
1631598360.0,3286.79000000,3289.73000000,3286.78000000,3288.35000000,46.63510000,1631598419999,153362.15374100,297,20.64740000,67903.90803500,0
1631598420.0,3288.45000000,3288.46000000,3285.34000000,3285.35000000,34.74110000,1631598479999,114205.91289400,546,8.64870000,28426.05273600,0
1631598480.0,3285.35000000,3287.05000000,3285.01000000,3287.04000000,47.88670000,1631598539999,157339.03406100,305,29.65040000,97425.09451200,0
1631598540.0,3287.04000000,3287.05000000,3284.97000000,3286.46000000,40.22800000,1631598599999,132177.77325300,420,18.51910000,60847.67412200,0
1631598600.0,3286.46000000,3286.46000000,3285.00000000,3285.12000000,35.15890000,1631598659999,115516.63096000,338,9.23160000,30332.88811200,0
1631598660.0,3285.11000000,3287.06000000,3284.45000000,3284.74000000,175.00360000,1631598719999,574963.86618200,545,91.34650000,300101.67178800,0
1631598720.0,3284.99000000,3285.99000000,3284.57000000,3284.91000000,60.71960000,1631598779999,199484.88716400,270,32.10470000,105470.10188400,0
1631598780.0,3284.91000000,3287.06000000,3284.91000000,3285.11000000,44.54600000,1631598839999,146383.13741500,456,21.08490000,69288.02351900,0
1631598840.0,3285.11000000,3287.32000000,3285.11000000,3287.22000000,31.66450000,1631598899999,104071.05297300,306,9.69940000,31874.51841800,0
1631598900.0,3287.22000000,3287.28000000,3285.20000000,3285.74000000,55.40980000,1631598959999,182086.13895000,403,21.05760000,69185.97542900,0
1631598960.0,3285.74000000,3286.90000000,3285.73000000,3286.90000000,53.94810000,1631599019999,177286.15100700,313,40.46380000,132972.44744900,0
1631599020.0,3286.89000000,3288.12000000,3286.89000000,3288.03000000,46.85090000,1631599079999,154035.93117100,342,29.76930000,97875.23106900,0
