Date,Open,High,Low,Close
1995-01-03,2.179012,2.191358,2.117284,2.117284
1995-01-04,2.123457,2.148148,2.092592,2.135803
1995-01-05,2.141975,2.148148,2.08642,2.092592
1995-01-06,2.092592,2.154321,2.061728,2.117284
1995-01-09,2.135803,2.179012,2.12963,2.179012
1995-01-10,2.191358,2.216049,2.185185,2.185185
1995-01-11,2.203704,2.216049,2.098765,2.12037
1995-01-12,2.123457,2.12963,2.08642,2.104938
1995-01-13,2.12963,2.145062,2.074074,2.080247
