1629158400.0,3147.18000000,3148.32000000,3144.02000000,3147.21000000,838.23520000,1629158459999,2637003.68839150,1069,276.89633000,871114.54389210,0
1629158460.0,3147.21000000,3147.22000000,3143.84000000,3143.88000000,352.76759000,1629158519999,1109449.65351080,678,170.44601000,536073.22032100,0
1629158520.0,3143.96000000,3162.43000000,3143.81000000,3162.33000000,682.64301000,1629158579999,2151097.44903350,1273,404.51660000,1274616.28902110,0
1629158580.0,3162.33000000,3162.33000000,3148.30000000,3148.68000000,916.75736000,1629158639999,2894332.62554870,1213,331.77063000,1047181.57690080,0
1629158640.0,3148.34000000,3150.08000000,3143.00000000,3143.64000000,1040.98161000,1629158699999,3274236.42157890,1648,370.09281000,1164165.85866680,0
1629158700.0,3143.64000000,3147.97000000,3140.27000000,3141.64000000,1830.27145000,1629158759999,5751985.29914140,2806,795.43816000,2501173.95517370,0
1629158760.0,3141.63000000,3145.10000000,3140.44000000,3143.21000000,235.10730000,1629158819999,738843.81923000,516,116.08115000,364762.51227460,0
1629158820.0,3143.20000000,3152.38000000,3142.67000000,3150.35000000,763.10040000,1629158879999,2402601.74325060,1150,509.49564000,1604085.61488060,0
1629158880.0,3150.35000000,3150.35000000,3142.87000000,3144.46000000,269.95265000,1629158939999,849179.52599780,616,146.24522000,459948.56941330,0
1629158940.0,3144.17000000,3151.37000000,3143.18000000,3150.97000000,294.92184000,1629158999999,928197.16187070,737,166.23409000,523213.72224790,0
